delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
460800, 0.3, 43200, 8e+12, 8e+16, 6.4062571437e+16, 8e+16, 3.42487900106e+15, 8e+16, 1.55578497359e+16
464400, 0.3, 43200, 8e+12, 8e+16, 6.46041835014e+16, 8e+16, 3.45587717752e+15, 8e+16, 1.56984775199e+16
468000, 0.3, 43200, 8e+12, 8e+16, 6.51457955657e+16, 8e+16, 3.48687535397e+15, 8e+16, 1.58391053039e+16
471600, 0.3, 43200, 8e+12, 8e+16, 6.56874076301e+16, 8e+16, 3.51787353042e+15, 8e+16, 1.59797330879e+16
475200, 0.3, 43200, 8e+12, 8e+16, 6.62290196944e+16, 8e+16, 3.54887170687e+15, 8e+16, 1.6120360872e+16
478800, 0.3, 43200, 8e+12, 8e+16, 6.67706317588e+16, 8e+16, 3.57986988332e+15, 8e+16, 1.6260988656e+16
482400, 0.3, 43200, 8e+12, 8e+16, 6.73122438231e+16, 8e+16, 3.61086805977e+15, 8e+16, 1.640161644e+16
486000, 0.3, 43200, 8e+12, 8e+16, 6.78538558875e+16, 8e+16, 3.64186623622e+15, 8e+16, 1.6542244224e+16
489600, 0.3, 43200, 8e+12, 8e+16, 6.83954679518e+16, 8e+16, 3.67286441267e+15, 8e+16, 1.66828720081e+16
493200, 0.3, 43200, 8e+12, 8e+16, 6.89370800162e+16, 8e+16, 3.70386258912e+15, 8e+16, 1.68234997921e+16
496800, 0.3, 43200, 8e+12, 8e+16, 6.94786920806e+16, 8e+16, 3.73486076557e+15, 8e+16, 1.69641275761e+16
500400, 0.3, 43200, 8e+12, 8e+16, 7.63141566493e+15, 8e+16, 3.63869304079e+16, 8e+16, 4.35191464207e+16
504000, 0.3, 43200, 8e+12, 8e+16, 1.48500748875e+16, 8e+16, 3.78050314938e+16, 8e+16, 3.50466382545e+16
507600, 0.3, 43200, 8e+12, 8e+16, 6.31838701054e+15, 8e+16, 3.66034337846e+16, 8e+16, 4.57332910411e+16
511200, 0.3, 43200, 8e+12, 8e+16, 1.59784414532e+16, 8e+16, 3.52793713386e+16, 8e+16, 3.81007289524e+16
514800, 0.3, 43200, 8e+12, 8e+16, 4.15340550039e+15, 8e+16, 3.38270387605e+16, 8e+16, 5.1749837574e+16
518400, 0.3, 43200, 8e+12, 8e+16, 4.6253497058e+16, 8e+16, 3.75728057584e+16, 8e+16, 8.21697753381e+15
522000, 0.3, 43200, 8e+12, 8e+16, 1.00812726855e+16, 8e+16, 4.85608973592e+16, 8e+16, 3.24768078519e+16
525600, 0.3, 43200, 8e+12, 8e+16, 4.11538467581e+15, 8e+16, 4.0503505061e+16, 8e+16, 4.73340045918e+16
529200, 0.3, 43200, 8e+12, 8e+16, 2.85462037124e+16, 8e+16, 3.09842517345e+16, 8e+16, 3.34859637003e+16
532800, 0.3, 43200, 8e+12, 8e+16, 3.28350054983e+16, 8e+16, 3.41279228005e+16, 8e+16, 2.65254077134e+16
536400, 0.3, 43200, 8e+12, 8e+16, 7.57993456979e+15, 8e+16, 6.44946820155e+16, 8e+16, 2.21777791626e+16
540000, 0.3, 43200, 8e+12, 8e+16, 2.69375568555e+16, 8e+16, 3.25676125169e+16, 8e+16, 3.53826083498e+16
543600, 0.3, 43200, 8e+12, 8e+16, 2.60605113637e+15, 8e+16, 4.83897098867e+16, 8e+16, 4.44545339158e+16
547200, 0.3, 43200, 8e+12, 8e+16, 7.77694673249e+15, 8e+16, 3.32285953384e+16, 8e+16, 5.53526452941e+16
550800, 0.3, 43200, 8e+12, 8e+16, 7.18463973963e+15, 8e+16, 6.1229271972e+16, 8e+16, 2.90329982218e+16
554400, 0.3, 43200, 8e+12, 8e+16, 3.28082469043e+16, 8e+16, 2.18846148521e+16, 8e+16, 4.32326637414e+16
558000, 0.3, 43200, 8e+12, 8e+16, 4.09789539699e+16, 8e+16, 1.93929441443e+16, 8e+16, 3.79599589801e+16
561600, 0.3, 43200, 8e+12, 8e+16, 1.87353510857e+16, 8e+16, 3.88595641331e+16, 8e+16, 4.16019894169e+16
565200, 0.3, 43200, 8e+12, 8e+16, 5.17211597473e+16, 8e+16, 2.4404873485e+16, 8e+16, 2.38987192246e+16
568800, 0.3, 43200, 8e+12, 8e+16, 8.29576817898e+15, 8e+16, 6.74766444927e+16, 8e+16, 2.50930803921e+16
572400, 0.3, 43200, 8e+12, 8e+16, 1.63880230799e+16, 8e+16, 3.87085573816e+16, 8e+16, 4.62611452344e+16
576000, 0.3, 43200, 8e+12, 8e+16, 1.94908191121e+15, 8e+16, 4.33138107586e+16, 8e+16, 5.68863238271e+16
579600, 0.3, 43200, 8e+12, 0.0, 0.0, 8e+16, 6.40712430434e+16, 8e+16, 3.86270003509e+16
583200, 0.3, 43200, 8e+12, 8e+16, 8.44418133948e+15, 8e+16, 4.22436597879e+16, 8e+16, 5.28004804887e+16
586800, 0.3, 43200, 8e+12, 0.0, 0.0, 8e+16, 4.0750166234e+16, 8e+16, 6.31059863283e+16
590400, 0.3, 43200, 8e+12, 8e+16, 2.29840114267e+16, 8e+16, 4.81059868519e+16, 8e+16, 3.43766461618e+16
594000, 0.3, 43200, 8e+12, 8e+16, 4.39130786125e+16, 8e+16, 2.18630707091e+16, 8e+16, 4.07224254849e+16
597600, 0.3, 43200, 8e+12, 8e+16, 6.91414006674e+15, 8e+16, 6.18358215303e+16, 8e+16, 3.81780554934e+16
601200, 0.3, 43200, 8e+12, 8e+16, 1.55153324348e+16, 8e+16, 5.16497202576e+16, 8e+16, 3.98327779753e+16
604800, 0.3, 43200, 8e+12, 8e+16, 1.73661346466e+16, 8e+16, 4.28679414504e+16, 8e+16, 4.74090389489e+16
608400, 0.3, 43200, 8e+12, 8e+16, 8.77017789434e+15, 8e+16, 6.3869374348e+16, 8e+16, 3.5895445384e+16
